"plant_id"	"Treatment"	"ACC_ID"	"Rep"	"plant_num"
"128"	"P_2320_5"	"P"	"2320"	5	128
"129"	"P_5723_1"	"P"	"5723"	1	129
"130"	"P_5723_2"	"P"	"5723"	2	130
"131"	"P_5723_3"	"P"	"5723"	3	131
"132"	"P_5723_4"	"P"	"5723"	4	132
"133"	"P_5723_5"	"P"	"5723"	5	133
"134"	"P_5723_6"	"P"	"5723"	6	134
"135"	"P_5723_7"	"P"	"5723"	7	135
"136"	"P_5723_8"	"P"	"5723"	8	136
"137"	"P_5729_1"	"P"	"5729"	1	137
"138"	"P_5729_2"	"P"	"5729"	2	138
"139"	"P_5729_3"	"P"	"5729"	3	139
"140"	"P_5729_4"	"P"	"5729"	4	140
"141"	"P_5729_5"	"P"	"5729"	5	141
"142"	"P_5729_6"	"P"	"5729"	6	142
"143"	"P_5729_7"	"P"	"5729"	7	143
"144"	"P_5731_1"	"P"	"5731"	1	144
"145"	"P_5731_2"	"P"	"5731"	2	145
"146"	"P_5731_3"	"P"	"5731"	3	146
"147"	"P_5731_4"	"P"	"5731"	4	147
"148"	"P_5731_5"	"P"	"5731"	5	148
"149"	"P_5731_6"	"P"	"5731"	6	149
"150"	"P_5731_7"	"P"	"5731"	7	150
"151"	"P_5731_8"	"P"	"5731"	8	151
"152"	"P_5731_9"	"P"	"5731"	9	152
"153"	"P_5736_1"	"P"	"5736"	1	153
"154"	"P_5736_2"	"P"	"5736"	2	154
"155"	"P_5736_3"	"P"	"5736"	3	155
"156"	"P_5736_4"	"P"	"5736"	4	156
"157"	"P_5736_5"	"P"	"5736"	5	157
"158"	"P_5736_6"	"P"	"5736"	6	158
"159"	"P_5742_1"	"P"	"5742"	1	159
"160"	"P_5742_2"	"P"	"5742"	2	160
"161"	"P_5742_3"	"P"	"5742"	3	161
"162"	"P_5742_4"	"P"	"5742"	4	162
"163"	"P_5742_5"	"P"	"5742"	5	163
"164"	"P_5742_6"	"P"	"5742"	6	164
"165"	"P_5745_1"	"P"	"5745"	1	165
"166"	"P_5745_2"	"P"	"5745"	2	166
"167"	"P_5745_3"	"P"	"5745"	3	167
"168"	"P_5745_4"	"P"	"5745"	4	168
"169"	"P_5745_5"	"P"	"5745"	5	169
"170"	"P_5745_6"	"P"	"5745"	6	170
"171"	"P_5751_1"	"P"	"5751"	1	171
"172"	"P_5751_2"	"P"	"5751"	2	172
"173"	"P_5751_3"	"P"	"5751"	3	173
"174"	"P_5751_4"	"P"	"5751"	4	174
"175"	"P_5752_1"	"P"	"5752"	1	175
"176"	"P_5752_2"	"P"	"5752"	2	176
"177"	"P_5752_3"	"P"	"5752"	3	177
"178"	"P_5752_4"	"P"	"5752"	4	178
"179"	"P_5752_5"	"P"	"5752"	5	179
"180"	"P_5752_6"	"P"	"5752"	6	180
"181"	"P_5752_7"	"P"	"5752"	7	181
"182"	"P_5837_1"	"P"	"5837"	1	182
"183"	"P_5837_2"	"P"	"5837"	2	183
"184"	"P_5837_3"	"P"	"5837"	3	184
"185"	"P_6008_1"	"P"	"6008"	1	185
"186"	"P_6008_2"	"P"	"6008"	2	186
"187"	"P_6008_3"	"P"	"6008"	3	187
"188"	"P_6008_4"	"P"	"6008"	4	188
"189"	"P_6008_5"	"P"	"6008"	5	189
"190"	"P_6008_6"	"P"	"6008"	6	190
"191"	"P_6008_7"	"P"	"6008"	7	191
"192"	"P_6008_8"	"P"	"6008"	8	192
"193"	"P_6008_9"	"P"	"6008"	9	193
"194"	"P_6016_1"	"P"	"6016"	1	194
"195"	"P_6016_2"	"P"	"6016"	2	195
"196"	"P_6016_3"	"P"	"6016"	3	196
"197"	"P_6016_4"	"P"	"6016"	4	197
"198"	"P_6016_5"	"P"	"6016"	5	198
"199"	"P_6040_1"	"P"	"6040"	1	199
"200"	"P_6040_2"	"P"	"6040"	2	200
"201"	"P_6040_3"	"P"	"6040"	3	201
"202"	"P_6040_4"	"P"	"6040"	4	202
"203"	"P_6040_5"	"P"	"6040"	5	203
"204"	"P_6040_6"	"P"	"6040"	6	204
"205"	"P_6040_7"	"P"	"6040"	7	205
"206"	"P_6074_1"	"P"	"6074"	1	206
"207"	"P_6074_2"	"P"	"6074"	2	207
"208"	"P_6074_3"	"P"	"6074"	3	208
"209"	"P_6074_4"	"P"	"6074"	4	209
"210"	"P_6074_5"	"P"	"6074"	5	210
"211"	"P_6074_6"	"P"	"6074"	6	211
"212"	"P_6074_7"	"P"	"6074"	7	212
"213"	"P_6074_8"	"P"	"6074"	8	213
"214"	"P_6074_9"	"P"	"6074"	9	214
"215"	"P_6074_10"	"P"	"6074"	10	215
