"plant_id"	"Treatment"	"ACC_ID"	"Rep"
"128"	"P_2320_5"	"P"	"2320"	"5"
"129"	"P_5723_1"	"P"	"5723"	"1"
"130"	"P_5723_2"	"P"	"5723"	"2"
"131"	"P_5723_3"	"P"	"5723"	"3"
"132"	"P_5723_4"	"P"	"5723"	"4"
"133"	"P_5723_5"	"P"	"5723"	"5"
"134"	"P_5723_6"	"P"	"5723"	"6"
"135"	"P_5723_7"	"P"	"5723"	"7"
"136"	"P_5723_8"	"P"	"5723"	"8"
"137"	"P_5729_1"	"P"	"5729"	"1"
"138"	"P_5729_2"	"P"	"5729"	"2"
"139"	"P_5729_3"	"P"	"5729"	"3"
"140"	"P_5729_4"	"P"	"5729"	"4"
"141"	"P_5729_5"	"P"	"5729"	"5"
"142"	"P_5729_6"	"P"	"5729"	"6"
"143"	"P_5729_7"	"P"	"5729"	"7"
"144"	"P_5731_1"	"P"	"5731"	"1"
"145"	"P_5731_2"	"P"	"5731"	"2"
"146"	"P_5731_3"	"P"	"5731"	"3"
"147"	"P_5731_4"	"P"	"5731"	"4"
"148"	"P_5731_5"	"P"	"5731"	"5"
"149"	"P_5731_6"	"P"	"5731"	"6"
"150"	"P_5731_7"	"P"	"5731"	"7"
"151"	"P_5731_8"	"P"	"5731"	"8"
"152"	"P_5731_9"	"P"	"5731"	"9"
"153"	"P_5736_1"	"P"	"5736"	"1"
"154"	"P_5736_2"	"P"	"5736"	"2"
"155"	"P_5736_3"	"P"	"5736"	"3"
"156"	"P_5736_4"	"P"	"5736"	"4"
"157"	"P_5736_5"	"P"	"5736"	"5"
"158"	"P_5736_6"	"P"	"5736"	"6"
"159"	"P_5742_1"	"P"	"5742"	"1"
"160"	"P_5742_2"	"P"	"5742"	"2"
"161"	"P_5742_3"	"P"	"5742"	"3"
"162"	"P_5742_4"	"P"	"5742"	"4"
"163"	"P_5742_5"	"P"	"5742"	"5"
"164"	"P_5742_6"	"P"	"5742"	"6"
"165"	"P_5745_1"	"P"	"5745"	"1"
"166"	"P_5745_2"	"P"	"5745"	"2"
"167"	"P_5745_3"	"P"	"5745"	"3"
"168"	"P_5745_4"	"P"	"5745"	"4"
"169"	"P_5745_5"	"P"	"5745"	"5"
"170"	"P_5745_6"	"P"	"5745"	"6"
"171"	"P_5751_1"	"P"	"5751"	"1"
"172"	"P_5751_2"	"P"	"5751"	"2"
"173"	"P_5751_3"	"P"	"5751"	"3"
"174"	"P_5751_4"	"P"	"5751"	"4"
"175"	"P_5752_1"	"P"	"5752"	"1"
"176"	"P_5752_2"	"P"	"5752"	"2"
"177"	"P_5752_3"	"P"	"5752"	"3"
"178"	"P_5752_4"	"P"	"5752"	"4"
"179"	"P_5752_5"	"P"	"5752"	"5"
"180"	"P_5752_6"	"P"	"5752"	"6"
"181"	"P_5752_7"	"P"	"5752"	"7"
"182"	"P_5837_1"	"P"	"5837"	"1"
"183"	"P_5837_2"	"P"	"5837"	"2"
"184"	"P_5837_3"	"P"	"5837"	"3"
"185"	"P_6008_1"	"P"	"6008"	"1"
"186"	"P_6008_2"	"P"	"6008"	"2"
"187"	"P_6008_3"	"P"	"6008"	"3"
"188"	"P_6008_4"	"P"	"6008"	"4"
"189"	"P_6008_5"	"P"	"6008"	"5"
"190"	"P_6008_6"	"P"	"6008"	"6"
"191"	"P_6008_7"	"P"	"6008"	"7"
"192"	"P_6008_8"	"P"	"6008"	"8"
"193"	"P_6008_9"	"P"	"6008"	"9"
"194"	"P_6016_1"	"P"	"6016"	"1"
"195"	"P_6016_2"	"P"	"6016"	"2"
"196"	"P_6016_3"	"P"	"6016"	"3"
"197"	"P_6016_4"	"P"	"6016"	"4"
"198"	"P_6016_5"	"P"	"6016"	"5"
"199"	"P_6040_1"	"P"	"6040"	"1"
"200"	"P_6040_2"	"P"	"6040"	"2"
"201"	"P_6040_3"	"P"	"6040"	"3"
"202"	"P_6040_4"	"P"	"6040"	"4"
"203"	"P_6040_5"	"P"	"6040"	"5"
"204"	"P_6040_6"	"P"	"6040"	"6"
"205"	"P_6040_7"	"P"	"6040"	"7"
"206"	"P_6074_1"	"P"	"6074"	"1"
"207"	"P_6074_2"	"P"	"6074"	"2"
"208"	"P_6074_3"	"P"	"6074"	"3"
"209"	"P_6074_4"	"P"	"6074"	"4"
"210"	"P_6074_5"	"P"	"6074"	"5"
"211"	"P_6074_6"	"P"	"6074"	"6"
"212"	"P_6074_7"	"P"	"6074"	"7"
"213"	"P_6074_8"	"P"	"6074"	"8"
"214"	"P_6074_9"	"P"	"6074"	"9"
"215"	"P_6074_10"	"P"	"6074"	"10"
"216"	"P_6243_1"	"P"	"6243"	"1"
"217"	"P_6243_2"	"P"	"6243"	"2"
"218"	"P_6243_3"	"P"	"6243"	"3"
"219"	"P_6243_4"	"P"	"6243"	"4"
"220"	"P_6243_5"	"P"	"6243"	"5"
"221"	"P_6243_6"	"P"	"6243"	"6"
"222"	"P_6243_7"	"P"	"6243"	"7"
"223"	"P_6730_1"	"P"	"6730"	"1"
"224"	"P_6730_2"	"P"	"6730"	"2"
"225"	"P_6730_3"	"P"	"6730"	"3"
"226"	"P_6730_4"	"P"	"6730"	"4"
"227"	"P_6730_5"	"P"	"6730"	"5"
"228"	"P_6730_6"	"P"	"6730"	"6"
"229"	"P_6730_7"	"P"	"6730"	"7"
"230"	"P_6730_8"	"P"	"6730"	"8"
"231"	"P_6897_1"	"P"	"6897"	"1"
"232"	"P_6897_2"	"P"	"6897"	"2"
"233"	"P_6897_3"	"P"	"6897"	"3"
"234"	"P_6897_4"	"P"	"6897"	"4"
"235"	"P_6897_5"	"P"	"6897"	"5"
"236"	"P_6897_6"	"P"	"6897"	"6"
"237"	"P_6897_7"	"P"	"6897"	"7"
"238"	"P_6898_1"	"P"	"6898"	"1"
"239"	"P_6898_2"	"P"	"6898"	"2"
"240"	"P_6898_3"	"P"	"6898"	"3"
"241"	"P_6898_4"	"P"	"6898"	"4"
"242"	"P_6898_5"	"P"	"6898"	"5"
"243"	"P_6898_6"	"P"	"6898"	"6"
"244"	"P_6898_7"	"P"	"6898"	"7"
"245"	"P_6898_8"	"P"	"6898"	"8"
"246"	"P_6898_9"	"P"	"6898"	"9"
"247"	"P_6899_1"	"P"	"6899"	"1"
"248"	"P_6899_2"	"P"	"6899"	"2"
"249"	"P_6899_3"	"P"	"6899"	"3"
"250"	"P_6899_4"	"P"	"6899"	"4"
"251"	"P_6903_1"	"P"	"6903"	"1"
"252"	"P_6903_2"	"P"	"6903"	"2"
"253"	"P_6903_3"	"P"	"6903"	"3"
"254"	"P_6903_4"	"P"	"6903"	"4"
"255"	"P_6904_1"	"P"	"6904"	"1"
"256"	"P_6904_2"	"P"	"6904"	"2"
"257"	"P_6904_3"	"P"	"6904"	"3"
"258"	"P_6904_4"	"P"	"6904"	"4"
"259"	"P_6904_5"	"P"	"6904"	"5"
"260"	"P_6904_6"	"P"	"6904"	"6"
"261"	"P_6906_1"	"P"	"6906"	"1"
"262"	"P_6906_2"	"P"	"6906"	"2"
"263"	"P_6906_3"	"P"	"6906"	"3"
"264"	"P_6906_4"	"P"	"6906"	"4"
"265"	"P_6906_5"	"P"	"6906"	"5"
"266"	"P_6906_6"	"P"	"6906"	"6"
"267"	"P_6906_7"	"P"	"6906"	"7"
"268"	"P_6906_8"	"P"	"6906"	"8"
"269"	"P_6906_9"	"P"	"6906"	"9"
"270"	"P_6907_1"	"P"	"6907"	"1"
"271"	"P_6907_2"	"P"	"6907"	"2"
"272"	"P_6907_3"	"P"	"6907"	"3"
"273"	"P_6909_1"	"P"	"6909"	"1"
"274"	"P_6909_2"	"P"	"6909"	"2"
"275"	"P_6909_3"	"P"	"6909"	"3"
"276"	"P_6909_4"	"P"	"6909"	"4"
"277"	"P_6909_5"	"P"	"6909"	"5"
"278"	"P_6909_6"	"P"	"6909"	"6"
"279"	"P_6909_7"	"P"	"6909"	"7"
"280"	"P_6909_8"	"P"	"6909"	"8"
"281"	"P_6910_1"	"P"	"6910"	"1"
"282"	"P_6910_2"	"P"	"6910"	"2"
"283"	"P_6910_3"	"P"	"6910"	"3"
"284"	"P_6910_4"	"P"	"6910"	"4"
"285"	"P_6910_5"	"P"	"6910"	"5"
"286"	"P_6910_6"	"P"	"6910"	"6"
"287"	"P_6910_7"	"P"	"6910"	"7"
"288"	"P_6911_1"	"P"	"6911"	"1"
"289"	"P_6911_2"	"P"	"6911"	"2"
"290"	"P_6911_3"	"P"	"6911"	"3"
"291"	"P_6911_4"	"P"	"6911"	"4"
"292"	"P_6911_5"	"P"	"6911"	"5"
"293"	"P_6911_6"	"P"	"6911"	"6"
"294"	"P_6911_7"	"P"	"6911"	"7"
"295"	"P_6913_1"	"P"	"6913"	"1"
"296"	"P_6913_2"	"P"	"6913"	"2"
"297"	"P_6915_1"	"P"	"6915"	"1"
"298"	"P_6915_2"	"P"	"6915"	"2"
"299"	"P_6915_3"	"P"	"6915"	"3"
"300"	"P_6915_4"	"P"	"6915"	"4"
"301"	"P_6915_5"	"P"	"6915"	"5"
"302"	"P_6915_6"	"P"	"6915"	"6"
"303"	"P_6915_7"	"P"	"6915"	"7"
"304"	"P_6915_8"	"P"	"6915"	"8"
"305"	"P_6915_9"	"P"	"6915"	"9"
"306"	"P_6915_10"	"P"	"6915"	"10"
"307"	"P_6915_11"	"P"	"6915"	"11"
"308"	"P_6916_1"	"P"	"6916"	"1"
"309"	"P_6916_2"	"P"	"6916"	"2"
"310"	"P_6916_3"	"P"	"6916"	"3"
"311"	"P_6916_4"	"P"	"6916"	"4"
"312"	"P_6916_5"	"P"	"6916"	"5"
"313"	"P_6916_6"	"P"	"6916"	"6"
"314"	"P_6916_7"	"P"	"6916"	"7"
"315"	"P_6916_8"	"P"	"6916"	"8"
"316"	"P_6916_9"	"P"	"6916"	"9"
"317"	"P_6919_1"	"P"	"6919"	"1"
"318"	"P_6919_2"	"P"	"6919"	"2"
"319"	"P_6919_3"	"P"	"6919"	"3"
"320"	"P_6919_4"	"P"	"6919"	"4"
"321"	"P_6919_5"	"P"	"6919"	"5"
"322"	"P_6920_1"	"P"	"6920"	"1"
"323"	"P_6920_2"	"P"	"6920"	"2"
"324"	"P_6920_3"	"P"	"6920"	"3"
"325"	"P_6920_4"	"P"	"6920"	"4"
"326"	"P_6920_5"	"P"	"6920"	"5"
"327"	"P_6920_6"	"P"	"6920"	"6"
"328"	"P_6920_7"	"P"	"6920"	"7"
"329"	"P_6922_1"	"P"	"6922"	"1"
"330"	"P_6922_2"	"P"	"6922"	"2"
"331"	"P_6922_3"	"P"	"6922"	"3"
"332"	"P_6922_4"	"P"	"6922"	"4"
"333"	"P_6922_5"	"P"	"6922"	"5"
"334"	"P_6922_6"	"P"	"6922"	"6"
"335"	"P_6922_7"	"P"	"6922"	"7"
"336"	"P_6922_8"	"P"	"6922"	"8"
"337"	"P_6923_1"	"P"	"6923"	"1"
"338"	"P_6923_2"	"P"	"6923"	"2"
"339"	"P_6923_3"	"P"	"6923"	"3"
"340"	"P_6923_4"	"P"	"6923"	"4"
"341"	"P_6923_5"	"P"	"6923"	"5"
"342"	"P_6923_6"	"P"	"6923"	"6"
"343"	"P_6923_7"	"P"	"6923"	"7"
"344"	"P_6923_8"	"P"	"6923"	"8"
"345"	"P_6923_9"	"P"	"6923"	"9"
"346"	"P_6923_10"	"P"	"6923"	"10"
"347"	"P_6924_1"	"P"	"6924"	"1"
"348"	"P_6924_2"	"P"	"6924"	"2"
"349"	"P_6924_3"	"P"	"6924"	"3"
"350"	"P_6924_4"	"P"	"6924"	"4"
"351"	"P_6926_1"	"P"	"6926"	"1"
"352"	"P_6926_2"	"P"	"6926"	"2"
"353"	"P_6926_3"	"P"	"6926"	"3"
"354"	"P_6926_4"	"P"	"6926"	"4"
"355"	"P_6926_5"	"P"	"6926"	"5"
"356"	"P_6926_6"	"P"	"6926"	"6"
"357"	"P_6926_7"	"P"	"6926"	"7"
"358"	"P_6926_8"	"P"	"6926"	"8"
"359"	"P_6926_9"	"P"	"6926"	"9"
"360"	"P_6928_1"	"P"	"6928"	"1"
"361"	"P_6928_2"	"P"	"6928"	"2"
"362"	"P_6928_3"	"P"	"6928"	"3"
"363"	"P_6928_4"	"P"	"6928"	"4"
"364"	"P_6928_5"	"P"	"6928"	"5"
"365"	"P_6928_6"	"P"	"6928"	"6"
"366"	"P_6928_7"	"P"	"6928"	"7"
"367"	"P_6929_1"	"P"	"6929"	"1"
"368"	"P_6929_2"	"P"	"6929"	"2"
"369"	"P_6929_3"	"P"	"6929"	"3"
"370"	"P_6929_4"	"P"	"6929"	"4"
"371"	"P_6929_5"	"P"	"6929"	"5"
"372"	"P_6929_6"	"P"	"6929"	"6"
"373"	"P_6930_1"	"P"	"6930"	"1"
"374"	"P_6930_2"	"P"	"6930"	"2"
"375"	"P_6930_3"	"P"	"6930"	"3"
"376"	"P_6930_4"	"P"	"6930"	"4"
"377"	"P_6930_5"	"P"	"6930"	"5"
"378"	"P_6930_6"	"P"	"6930"	"6"
"379"	"P_6930_7"	"P"	"6930"	"7"
"380"	"P_6930_8"	"P"	"6930"	"8"
"381"	"P_6930_9"	"P"	"6930"	"9"
"382"	"P_6930_10"	"P"	"6930"	"10"
"383"	"P_6930_11"	"P"	"6930"	"11"
"384"	"P_6931_1"	"P"	"6931"	"1"
"385"	"P_6931_2"	"P"	"6931"	"2"
"386"	"P_6931_3"	"P"	"6931"	"3"
"387"	"P_6931_4"	"P"	"6931"	"4"
"388"	"P_6931_5"	"P"	"6931"	"5"
"389"	"P_6931_6"	"P"	"6931"	"6"
"390"	"P_6931_7"	"P"	"6931"	"7"
"391"	"P_6931_8"	"P"	"6931"	"8"
"392"	"P_6931_9"	"P"	"6931"	"9"
"393"	"P_6931_10"	"P"	"6931"	"10"
"394"	"P_6932_1"	"P"	"6932"	"1"
"395"	"P_6932_2"	"P"	"6932"	"2"
"396"	"P_6932_3"	"P"	"6932"	"3"
"397"	"P_6932_4"	"P"	"6932"	"4"
"398"	"P_6932_5"	"P"	"6932"	"5"
"399"	"P_6932_6"	"P"	"6932"	"6"
"400"	"P_6936_1"	"P"	"6936"	"1"
"401"	"P_6936_2"	"P"	"6936"	"2"
"402"	"P_6936_3"	"P"	"6936"	"3"
"403"	"P_6936_4"	"P"	"6936"	"4"
"404"	"P_6936_5"	"P"	"6936"	"5"
"405"	"P_6936_6"	"P"	"6936"	"6"
"406"	"P_6936_7"	"P"	"6936"	"7"
"407"	"P_6937_1"	"P"	"6937"	"1"
"408"	"P_6937_2"	"P"	"6937"	"2"
"409"	"P_6937_3"	"P"	"6937"	"3"
"410"	"P_6937_4"	"P"	"6937"	"4"
"411"	"P_6937_5"	"P"	"6937"	"5"
"412"	"P_6937_6"	"P"	"6937"	"6"
"413"	"P_6937_7"	"P"	"6937"	"7"
"414"	"P_6937_8"	"P"	"6937"	"8"
"415"	"P_6938_1"	"P"	"6938"	"1"
"416"	"P_6938_2"	"P"	"6938"	"2"
"417"	"P_6938_3"	"P"	"6938"	"3"
"418"	"P_6938_4"	"P"	"6938"	"4"
"419"	"P_6938_5"	"P"	"6938"	"5"
"420"	"P_6938_6"	"P"	"6938"	"6"
"421"	"P_6938_7"	"P"	"6938"	"7"
"422"	"P_6938_8"	"P"	"6938"	"8"
"423"	"P_6938_9"	"P"	"6938"	"9"
"424"	"P_6938_10"	"P"	"6938"	"10"
"425"	"P_6939_1"	"P"	"6939"	"1"
"426"	"P_6939_2"	"P"	"6939"	"2"
"427"	"P_6939_3"	"P"	"6939"	"3"
"428"	"P_6939_4"	"P"	"6939"	"4"
"429"	"P_6939_5"	"P"	"6939"	"5"
"430"	"P_6939_6"	"P"	"6939"	"6"
"431"	"P_6939_7"	"P"	"6939"	"7"
"432"	"P_6939_8"	"P"	"6939"	"8"
"433"	"P_6940_1"	"P"	"6940"	"1"
"434"	"P_6940_2"	"P"	"6940"	"2"
"435"	"P_6940_3"	"P"	"6940"	"3"
"436"	"P_6940_4"	"P"	"6940"	"4"
"437"	"P_6940_5"	"P"	"6940"	"5"
"438"	"P_6940_6"	"P"	"6940"	"6"
